id,neighbourhood,latitude,longitude,room_type,price,year
27901304,Greenpoint,40.72768,-73.94998,Entire home/apt,164,2021
27903031,Midtown,40.76465,-73.98174,Private room,175,2021
27903413,West Village,40.73987,-74.00326,Entire home/apt,160,2021
27905233,Greenpoint,40.72302,-73.94778,Private room,80,2021
27906043,Ridgewood,40.70639,-73.91171,Private room,55,2021
27906346,Upper West Side,40.79278,-73.97445,Entire home/apt,140,2021
27906875,Hell's Kitchen,40.76488,-73.99076,Entire home/apt,350,2021
27906951,Bushwick,40.70078,-73.92889,Private room,55,2021
27910083,Woodside,40.74468,-73.9101,Private room,51,2021
27910595,Mariners Harbor,40.63206,-74.15362,Private room,89,2021
27911463,Hollis,40.71663,-73.75731,Private room,50,2021
27919104,Harlem,40.8099,-73.94421,Entire home/apt,112,2021
27920036,Long Island City,40.75054,-73.93619,Entire home/apt,125,2021
27922561,Hell's Kitchen,40.76117,-73.99376,Shared room,50,2021
27923071,Harlem,40.81253,-73.94372,Private room,48,2021
27923577,Jamaica,40.71094,-73.78254,Entire home/apt,354,2021
27924639,Williamsbridge,40.86971,-73.85816,Entire home/apt,175,2021
27925378,Williamsburg,40.71271,-73.96198,Entire home/apt,180,2021
27927068,Williamsburg,40.7131,-73.95694,Entire home/apt,199,2021
27927147,Sunset Park,40.64679,-74.00684,Private room,65,2021
27928809,Williamsburg,40.71119,-73.94634,Entire home/apt,199,2021
27930717,Long Island City,40.75957,-73.93401,Private room,65,2021
27933214,Bergen Beach,40.62223,-73.90559,Entire home/apt,134,2021
27933429,Williamsburg,40.71668,-73.9573,Entire home/apt,110,2021
27933916,Woodside,40.7413,-73.89735,Private room,40,2021
27935369,Crown Heights,40.67636,-73.94048,Private room,44,2021
27936288,Two Bridges,40.71198,-73.99656,Entire home/apt,155,2021
27941636,Borough Park,40.6448,-73.99437,Private room,70,2021
27948294,Crown Heights,40.67674,-73.94298,Entire home/apt,500,2021
27949286,Ridgewood,40.70238,-73.89559,Private room,50,2021
27949503,Midtown,40.74861,-73.98237,Private room,89,2021
27952742,Schuylerville,40.83603,-73.83328,Private room,51,2021
27953232,Upper East Side,40.76158,-73.96257,Entire home/apt,115,2021
27953534,Cypress Hills,40.68002,-73.88277,Private room,96,2021
27953771,Cobble Hill,40.68487,-73.99818,Entire home/apt,128,2021
27955820,Hell's Kitchen,40.76304,-74.00097,Entire home/apt,243,2021
27956646,Midwood,40.61188,-73.94881,Private room,55,2021
27956689,East Village,40.72891,-73.9777,Private room,75,2021
27958130,Bushwick,40.69779,-73.92212,Private room,38,2021
27959826,Borough Park,40.64408,-73.99707,Private room,60,2021
27960021,Cypress Hills,40.67992,-73.88301,Private room,95,2021
27961870,Bushwick,40.70796,-73.92129,Private room,39,2021
27963195,Long Island City,40.75267,-73.93123,Private room,85,2021
27964166,Hell's Kitchen,40.75938,-73.99212,Entire home/apt,269,2021
27965166,Sunnyside,40.73756,-73.92176,Private room,58,2021
27965586,Harlem,40.81331,-73.95007,Private room,100,2021
27965802,Elmhurst,40.74096,-73.87153,Private room,31,2021
27966667,Carroll Gardens,40.6792,-73.99297,Entire home/apt,225,2021
27967580,Sunnyside,40.73733,-73.92165,Private room,52,2021
27967600,Sunnyside,40.73901,-73.91975,Private room,51,2021
27967621,Randall Manor,40.63607,-74.09631,Entire home/apt,10,2021
27978240,Inwood,40.86479,-73.92009,Private room,45,2021
27981955,East Harlem,40.79913,-73.93895,Entire home/apt,200,2021
27982303,East Harlem,40.79336,-73.94524,Entire home/apt,150,2021
27984123,Crown Heights,40.66446,-73.92927,Private room,95,2021
27986922,Bedford-Stuyvesant,40.69218,-73.93944,Private room,50,2021
27987152,East Flatbush,40.65552,-73.9401,Private room,211,2021
27988316,East Village,40.72974,-73.98445,Private room,75,2021
27988990,Prospect Heights,40.677,-73.96608,Entire home/apt,150,2021
27989719,Prospect Heights,40.67875,-73.97009,Private room,250,2021
28001559,Sunnyside,40.74441,-73.92341,Entire home/apt,155,2021
28002981,Prospect-Lefferts Gardens,40.66179,-73.95212,Entire home/apt,225,2021
28004429,East Village,40.72493,-73.982,Entire home/apt,150,2021
28008005,Murray Hill,40.74556,-73.97658,Private room,100,2021
28009721,Washington Heights,40.84602,-73.93528,Private room,78,2021
28010820,Upper East Side,40.77152,-73.95502,Private room,67,2021
28011483,East Harlem,40.79799,-73.94141,Private room,43,2021
28011594,Flatbush,40.64209,-73.96548,Private room,96,2021
28011840,East Elmhurst,40.76713,-73.87817,Entire home/apt,134,2021
28012756,Williamsburg,40.70352,-73.93342,Private room,250,2021
28012942,Upper East Side,40.77899,-73.95243,Entire home/apt,195,2021
28014073,East Flatbush,40.66283,-73.93254,Private room,99,2021
28014366,Crown Heights,40.67718,-73.95071,Entire home/apt,85,2021
28014733,Sunnyside,40.73879,-73.91973,Private room,51,2021
28014842,East Harlem,40.79465,-73.9437,Entire home/apt,83,2021
28015516,Brownsville,40.66549,-73.91764,Private room,50,2021
28021392,St. Albans,40.69486,-73.77415,Private room,60,2021
28031322,Stapleton,40.63652,-74.07553,Entire home/apt,150,2021
28032779,Springfield Gardens,40.66251,-73.74994,Entire home/apt,133,2021
28033814,Ridgewood,40.70395,-73.91051,Private room,76,2021
28041818,South Ozone Park,40.67286,-73.79686,Private room,47,2021
28042014,South Ozone Park,40.67194,-73.79526,Private room,49,2021
28042224,Hell's Kitchen,40.765057,-73.989037,Private room,175,2021
28044485,East Village,40.72961,-73.98274,Entire home/apt,199,2021
28045230,Upper West Side,40.7786,-73.97959,Entire home/apt,150,2021
28045724,Bushwick,40.70617,-73.92057,Private room,60,2021
28046416,Borough Park,40.64049,-74.00199,Private room,45,2021
28047046,West Village,40.73836,-74.00293,Entire home/apt,160,2021
28049432,Prospect-Lefferts Gardens,40.65732,-73.95285,Entire home/apt,150,2021
28049456,Williamsburg,40.71178,-73.94233,Private room,90,2021
28050441,East Flatbush,40.65922,-73.92051,Entire home/apt,107,2021
28050688,Bushwick,40.70474,-73.92784,Private room,75,2021
28053065,Astoria,40.77273,-73.92838,Private room,58,2021
28053907,Lower East Side,40.72202,-73.9867,Entire home/apt,175,2021
28053933,Washington Heights,40.85032,-73.93059,Private room,65,2021
28054901,Bedford-Stuyvesant,40.69393,-73.94221,Private room,55,2021
28054965,Crown Heights,40.66864,-73.95706,Entire home/apt,125,2021
28055277,Bedford-Stuyvesant,40.68886,-73.94479,Private room,50,2021
28067870,Bedford-Stuyvesant,40.69172,-73.94304,Private room,50,2021
28070872,East Elmhurst,40.75863,-73.86342,Private room,650,2021
28071460,Greenpoint,40.72004,-73.95278,Entire home/apt,100,2021
28073918,Williamsburg,40.71207,-73.95938,Private room,80,2021
28075828,Flatiron District,40.74043,-73.98528,Private room,2500,2021
28076544,Navy Yard,40.69862,-73.97398,Entire home/apt,250,2021
28078505,Sheepshead Bay,40.58933,-73.9561,Private room,60,2021
28081224,Harlem,40.82232,-73.94303,Private room,60,2021
28081782,Flushing,40.75874,-73.82131,Private room,89,2021
28082095,Mott Haven,40.80656,-73.91654,Entire home/apt,157,2021
28082234,Bedford-Stuyvesant,40.69526,-73.93564,Private room,90,2021
28084157,Flushing,40.75909,-73.82141,Private room,89,2021
28085121,Tompkinsville,40.63629,-74.07918,Entire home/apt,99,2021
28089652,Williamsburg,40.71115,-73.95702,Entire home/apt,96,2021
28096425,Crown Heights,40.67377,-73.94034,Entire home/apt,97,2021
28100131,Fort Greene,40.68916,-73.97762,Entire home/apt,275,2021
28101132,Clinton Hill,40.69382,-73.96254,Entire home/apt,119,2021
28102752,Bushwick,40.69583,-73.92958,Private room,36,2021
28105430,Jackson Heights,40.74852,-73.89162,Private room,200,2021
28108524,Clinton Hill,40.68817,-73.96676,Entire home/apt,140,2021
28108773,Upper West Side,40.78061,-73.97527,Entire home/apt,150,2021
28121595,Midland Beach,40.57552,-74.09086,Entire home/apt,200,2021
