id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price
32312991,Red Victorian  - Top double in shared Eden Hostel,117141107,,Haight Ashbury,37.76942,-122.44991,Shared room,44
32329385,Guest Unit in Remodeled City View Home,153516885,,Outer Mission,37.71598,-122.4446,Entire home/apt,258
32338483,Centrally Located-Chic 2 bdrm Victorian w/ Office,202536938,,Western Addition,37.77614,-122.42852,Entire home/apt,143
32355301,Premium South Beach Studio w/ pools + spa near SF Bay by Blueground,107434423,,South of Market,37.785412,-122.389603,Entire home/apt,157
32355422,"Chic South Beach Studio w/ 3 Pools, Spa, facing the water, by Blueground",107434423,,South of Market,37.78315,-122.39102,Entire home/apt,117
32355456,"Rad South Beach Studio w/ 3 Pools, Spa, facing the water by Blueground",107434423,,South of Market,37.784828,-122.389923,Entire home/apt,153
32368713,"Modern, Top Floor 2BR  Close to Park",8145777,,Bernal Heights,37.73582,-122.4239,Entire home/apt,180
32369854,Donatello Hotel:,52178915,,Downtown/Civic Center,37.78889,-122.41131,Entire home/apt,175
32375294,"Sunlit SoMa Studio w/ Gym + Rooftop Lounge, near Tech HQs by Blueground",107434423,,South of Market,37.77449,-122.40876,Entire home/apt,162
32383287,Private Suite in Sun Drenched Garden.,17742173,,Potrero Hill,37.75485,-122.40039,Entire home/apt,285
32384648,PRIME LOCATION IN SF AT UNION SQUARE-THE DONATELLO,64646820,,Downtown/Civic Center,37.78889,-122.41159,Private room,199
32384878,Remodeled SF 2 Bedroom Apartment,34789506,,South of Market,37.77624,-122.40785,Entire home/apt,130
32389762,KT Home,22685677,,Outer Sunset,37.74878,-122.50101,Entire home/apt,125
32396799,Perfect Castro Dolores Private Room w City View,234892136,,Castro/Upper Market,37.75918,-122.43191,Private room,130
32404157,Condo in Nob Hill/ view of the Golden Gate Bridge,81165421,,Nob Hill,37.79498,-122.4153,Entire home/apt,482
32407014,Luxury Furnished Condo at Opera Plaza - Long Term,243229372,,Downtown/Civic Center,37.7801,-122.42073,Entire home/apt,125
32423546,Beautiful Studio Unit (sleeps 4) @ the Donatello,62992635,,Downtown/Civic Center,37.78718,-122.40944,Hotel room,299
32441372,The Nook! Charming Room in Gorgeous Home w Parking,93752429,,Bayview,37.71859,-122.39424,Private room,45
32445292,(927 #3) private bedroom + shared bathroom,46519368,,Chinatown,37.79695,-122.40941,Private room,55
32445598,(929 #B) private bedroom + private bathroom,46519368,,Nob Hill,37.79709,-122.41151,Private room,59
32450006,SF-UNION SQUARE AT THE DONATELLO-SLEEPS 4,64646820,,Downtown/Civic Center,37.7873,-122.40943,Private room,199
32464743,"Airy 1BR SoMa, w/ Balcony Pool, Gym + Concierge, by Blueground",107434423,,South of Market,37.78331,-122.397598,Entire home/apt,191
32473990,"Sunny, spacious, studio near public transportation",1469393,,West of Twin Peaks,37.74252,-122.45187,Entire home/apt,165
32477178,Remodeled Private Room With En Suite in Oceanview,66762479,,Ocean View,37.71426,-122.46263,Private room,200
32477424,"Chic Urban Oasis: Walkable, 2BR + private yard",15820085,,Bernal Heights,37.74671,-122.42097,Entire home/apt,366
32478529,"Donatello Hotel,",52178915,,Downtown/Civic Center,37.7888,-122.40963,Entire home/apt,174
32487517,Sunny 1BR in SoMa w/ Gym + Roofdeck close to BART by Blueground,107434423,,South of Market,37.773987,-122.413414,Entire home/apt,162
32491838,Miraloma Vista Suite - Super Clean - Vacant 24 hrs,19306520,,West of Twin Peaks,37.73974,-122.44653,Entire home/apt,275
32493756,Modern and Safe One Bedroom Apartment,8883138,,Noe Valley,37.74607,-122.43987,Entire home/apt,130
32496599,Luxury garden suite at Ocean Beach and Golden Gate,174876683,,Outer Richmond,37.77705,-122.50773,Entire home/apt,194
32497883,"Donatello Hotel""",52178915,,Downtown/Civic Center,37.78871,-122.41151,Entire home/apt,153
32500819,GREAT LOCATION IN UNION SQUARE AT THE DONATELLO,64646820,,Downtown/Civic Center,37.78814,-122.41154,Private room,161
32501596,Donatello Hotel*,52178915,,Downtown/Civic Center,37.78873,-122.40985,Entire home/apt,175
32514702,STUDIO ON HARRISON ST-FEW STEPS FROM YERBA BUENA,200380610,,South of Market,37.78087,-122.39822,Entire home/apt,190
32518108,Spacious bedroom & private bathroom in new SF home,17965378,,Western Addition,37.78174,-122.43075,Private room,129
32531823,Top floor 2 bedroom 1 bathroom apartment,23911462,,Outer Richmond,37.7813,-122.48206,Entire home/apt,225
32537844,LUXURY 1BR LOFT IN SOUTH OF MARKET CLOSE TO FIDI,200380610,,South of Market,37.77734,-122.39655,Entire home/apt,280
32539377,"Bright Hayes Valley Studio w/ Gym, W/D, walk to Tech HQs by Blueground",107434423,,Western Addition,37.775276,-122.425247,Entire home/apt,175
32539458,"Homey Hayes Valley Studio w/ Gym, W/D, walk to Tech HQs by Blueground",107434423,,Western Addition,37.775276,-122.425247,Entire home/apt,173
32539536,LUXURY 2BR 2BATH IN CENTRAL WATERFRONT-TERRACE/GYM,200380610,,Potrero Hill,37.7621,-122.38766,Entire home/apt,320
32541170,NOB HILL LUXURY 2BR 2BATH- WALK TO FIDI/CHINATOWN,200380610,,Chinatown,37.79133,-122.40682,Entire home/apt,310
32542376,LUXURY 1BR IN SUNNY SOMA ON TEHAMA ST~WiFi/LAUNDRY,200380610,,South of Market,37.77528,-122.41115,Entire home/apt,265
32543867,"Roomy SoMa 1BR w/ Gym, Roofdeck, BBQs, walk to Tech HQs by Blueground",107434423,,South of Market,37.77418,-122.4104,Entire home/apt,203
32545896,PRIME LOCATION IN UNION SQUARE-THE DONATELLO,64646820,,Downtown/Civic Center,37.78699,-122.41127,Private room,199
32554173,The French Victorian - Bay View Room,2059233,,Bernal Heights,37.74764,-122.40674,Private room,149
32557678,PRIME LOCATION-THE DONATELLO IN UNION SQUARE,64646820,,Downtown/Civic Center,37.78681,-122.41111,Private room,199
32569053,Upper Market 2BR close to Twin Peaks,48005494,,Twin Peaks,37.75272,-122.44398,Entire home/apt,196
32570386,Monthly Garden View Room Marina/Fort Mason Park,14136650,,Marina,37.80274,-122.42539,Private room,63
32570904,WONDERFUL LOCATION IN UNION SQUARE-THE DONATELLO,64646820,,Downtown/Civic Center,37.78876,-122.41091,Private room,199
32570953,"Sunny, Large and Cozy North Beach Studio",1886606,,North Beach,37.80386,-122.41096,Entire home/apt,85
32572501,WONDERFUL LOCATION IN UNION SQUARE THE DONATELLO,64646820,,Downtown/Civic Center,37.78748,-122.4113,Private room,199
32577104,GREAT LOCATION AT THE DONATELLO IN UNION SQUARE,64646820,,Downtown/Civic Center,37.78702,-122.4099,Private room,173
32590109,Fantastic location in Union Square-The Donatello,64646820,,Downtown/Civic Center,37.78807,-122.40925,Private room,227
32613163,Charming Guest Suite with Private Patio and Views,124937590,,Castro/Upper Market,37.7569,-122.43742,Entire home/apt,195
32616360,WONDERFUL LOCATION IN SF-DONATELLO UNION SQUARE,64646820,,Downtown/Civic Center,37.78728,-122.41126,Private room,199
32617088,Studio at Donatello Hotel near Union Square,47514427,,Downtown/Civic Center,37.7874,-122.41138,Private room,241
32620353,Chic & spacious family home w/views & parking,5611653,,Bayview,37.73445,-122.39625,Entire home/apt,399
32635901,Chic Potrero Condo with Parking!,1479964,,Potrero Hill,37.76295,-122.40347,Entire home/apt,165
32640268,Luxury Condo,164164627,,South of Market,37.77729,-122.41305,Entire home/apt,150
32641065,Stay in Union Square in the heart of the city,64646820,,Downtown/Civic Center,37.78877,-122.41085,Private room,199
32643255,"Private room in SF home, 6 blocks from Ocean Beach",210597174,,Outer Sunset,37.74815,-122.50052,Private room,75
32643853,Newly Remodeled Loft in Lower Nob Hill,198038138,,Downtown/Civic Center,37.787827,-122.420708,Entire home/apt,512
32667541,Delightful Hotel Style Studio in Union Square,70722023,,Downtown/Civic Center,37.78993,-122.40807,Entire home/apt,132
